ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,vcp_score,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,power_play,breakout_confirm,pct_to_pivot,setup_score,ret_1m,ret_3m,qm_momentum,qm_ema_ride,adr_pct,qm_adr_pct,qm_consolidation,qm_score,adv_usd
SCCO,194.32000732421875,-11.20858948831568,139.92705137395686,139.92705137395686,103.28345981271832,0.8203759616482805,True,3,0.7674451081429301,6.175380582390705,49.83884179763933,21.632457439715314,False,True,False,True,False,False,-1.0489853892319823,4,16.554706034927904,8.770094244679827,False,True,3.9700781263218943,False,True,2,279804587.457724
SCHW,92.27999877929688,-13.635272137999932,24.63696013908678,23.40213060135783,-13.241460959880701,1.6061578936309633,False,1,1.1722859271813004,11.047897518082195,-0.5946573216915607,-2.318198807142924,False,False,False,False,False,False,-7.968483226554524,1,-1.0720411804099883,-10.815237496089281,False,False,2.7664068882198034,False,False,0,1006854474.4102128
SCI,82.9800033569336,-2.696322504462667,12.229638946252152,10.077289426113833,-26.566302135124698,0.7974466889902178,False,2,0.7846695363243179,3.561101122572774,2.8780802116366466,1.39297051570757,False,False,False,True,False,False,-2.1115882470419067,3,7.836265949103649,0.4466664634895201,False,True,2.183042662501984,False,True,2,92278193.48980904
SCO,8.470000267028809,-63.15789320855285,10.71895635867952,-58.883494610768025,-95.52708617200656,1.678562220355141,False,2,0.740473361074683,17.473435329567653,-57.2869374704171,5.086846477256235,False,False,False,False,False,False,-3.6404971127754093,2,6.809589538204541,-53.56359444455424,False,False,5.123096727878116,True,False,1,430042870.916811
SE,91.33000183105469,-53.521627566893294,16.850048044879884,-23.07757159199878,-59.72116315323731,1.0291734281858367,False,2,0.9029479489748897,10.675571887139428,-43.84875176252388,14.36263602935206,True,False,False,False,False,False,1.0287613821660768,2,8.121227076140048,-24.781746657600035,False,True,4.105133821850444,False,False,1,298940452.577874
SEB,5539.2900390625,-7.041581368830229,125.58413530992385,115.09056981112474,78.4469782498862,0.7936381709741551,True,2,0.9906379985164968,7.625700495730693,61.20476284803467,1.9006694322316164,False,True,False,True,False,False,-7.041581368830229,3,11.58654319994319,18.02351197284988,False,False,3.5417742586752268,False,True,1,69505238.23925781
SEDG,38.29999923706055,-26.161557690880667,226.9312739069826,206.64531576393895,170.00172420270042,1.0966395420474382,False,1,0.9721118999842723,21.462134646864104,-4.512593731608893,-23.8114205524231,False,False,False,False,False,False,-26.161557690880667,1,-14.66132280404382,12.94603187673995,False,False,8.686495163046988,True,False,1,178911414.7206564
SEE,42.150001525878906,-1.9513590671413228,79.99419098749465,79.99419098749465,43.35059942625612,0.0,True,2,0.7284748395935003,0.4982275007534366,22.879321178151812,0.9822707976162359,False,True,False,True,False,False,0.0,3,1.05421561406831,2.0034245563659736,False,True,0.1979445597424358,False,True,2,139603595.60930252
SEI,65.62000274658203,-4.288207288075085,275.0413835587931,265.15020034354313,228.5066087823046,0.7063605256041445,True,2,0.8500696651215689,11.287718965764808,21.71811144814204,8.552525919589726,False,True,False,False,False,False,-2.2639211451955354,2,-4.288207288075085,15.666658956403312,False,True,6.971047427544774,True,False,2,139193257.16622543
SEIC,79.79000091552734,-14.411508046307752,15.894922967845137,13.039331031452605,-23.604260529785925,1.281921295904612,False,2,0.8162821111450121,6.028330784305382,-0.2831825330725235,3.7311529054881554,True,False,False,True,False,False,-0.27496714764303487,3,2.8619327438920372,-7.231718481824146,False,True,2.160240684107585,False,True,2,71247305.0940094
SEZL,80.70999908447266,-55.69279893396217,109.14744432583308,88.83948506051615,52.195893499277624,1.3953165342353342,False,1,1.0924952147010807,30.442324338411623,7.757005928212601,20.408773018508587,False,False,False,False,False,False,8.8102403287464,1,23.20255907889186,17.8248161817119,False,False,7.902136038905725,True,False,1,52010686.66432305
SF,82.31999969482422,-6.8836724978968755,51.728545205658016,50.1867791863227,13.543187625084173,0.7087247987816594,False,2,0.8794810265609342,8.904268985463833,14.848797657604806,13.953491319398426,False,True,False,False,False,False,0.5742226383201876,2,17.348535857772873,-4.349160831498599,False,True,2.7432109048769813,False,False,1,104745708.59755364
SFD,29.0,-1.9939173691970735,53.36206569602817,52.58946986422721,15.945878302988682,0.4872878734932742,False,2,1.1951208255170316,5.620693338328395,36.54506767508665,13.505277455151754,False,True,False,True,False,False,-1.9939173691970735,3,24.494321081139848,25.025209626586697,False,True,3.0683878704254384,False,True,2,67164237.08711357
SFM,74.1500015258789,-58.697709558259206,13.102508064628736,-53.4934769251971,-90.13706848643562,0.9916566972173974,False,1,0.8101397182188168,7.902900188486683,-33.527566564499125,-4.037783425305042,False,False,False,True,False,False,-4.37193622597648,2,-12.071623484095518,-5.64956739903939,False,False,3.462466931403948,False,True,1,147607851.16385573
SGI,85.01000213623047,-13.073933057347375,48.17110773831643,48.17110773831643,11.5275161770779,1.1829826751514783,False,1,1.1740233923177628,12.057404708182622,0.3764376192948893,15.252168755665018,False,False,False,False,False,False,3.873418792996919,1,12.432219878321193,-9.38420319208676,False,True,4.47548995492207,False,False,1,254251879.04085922
SGML,19.719999313354492,-4.734306345241879,360.74762492213796,155.10995167782835,118.46636011658981,0.9523408641351465,True,1,1.1323289836691968,30.679515220052618,190.85543809904863,103.2989659908917,False,False,False,False,False,False,-4.734306345241879,1,87.45245679909928,60.71718482192017,True,False,10.640296523911202,True,False,2,71039370.15895748
SGOL,46.2400016784668,-10.056405727076779,52.45631979815937,45.31741710226387,8.673825541025337,0.5586096902714041,False,3,0.6276084816077777,3.7705443178461087,12.615684685644712,11.234067880505737,False,True,False,True,False,False,0.17331419263246772,4,0.2384578534674997,5.885055226196623,False,True,1.9211972018263623,False,True,2,223614454.17480317
SHAK,103.7300033569336,-26.966130924128485,34.504667612360684,28.937237155731268,-7.706354405507263,1.2974495509588695,False,1,0.8762242309648904,9.645237211055907,11.22667915598905,21.920546690763643,False,False,False,False,False,False,0.9439482294065993,1,19.093002496152245,4.650928654771991,False,True,4.107870094623813,False,False,1,109075716.97225495
SHEL,87.80999755859375,-6.733939314427396,42.6445712417451,42.6445712417451,6.000979680506568,1.2733244893824547,True,1,1.1595351232654014,8.415897500415312,25.36666384913604,-4.720058518513371,False,False,False,False,False,False,-6.733939314427396,1,-5.32614818480458,19.367484974096705,False,False,1.954201793149312,False,False,0,754256727.1642559
SHOP,131.14999389648438,-26.735937701246016,60.64428573858316,56.2053303079882,19.56173874674967,0.998029077445524,False,1,0.8650329496354714,18.29203124683684,-16.23555741113025,13.618637745601504,False,False,False,False,False,False,2.9353976350973365,1,5.979793047664139,-15.826971342346475,False,False,4.757529000476033,False,False,0,1008344028.4866791
SHW,345.54998779296875,-7.490503320927089,13.84376805675327,5.23942215723221,-31.40416940400632,1.1864009019426458,False,1,1.0512842213812315,7.009116503055466,4.725579330469243,8.136442182199355,False,False,False,True,False,False,2.8086051747413077,2,10.710621939882369,-3.2182649126206497,False,True,2.567963637711597,False,True,2,553855836.8696868
SIDU,5.349999904632568,-10.08403233388796,743.8485609567955,299.2537142811391,262.6101227199006,0.8918045062894497,True,1,2.27426302861211,43.17756533716443,331.45160189404334,98.14814111659895,False,False,False,False,False,False,-10.08403233388796,1,134.6491215686939,58.753711759993266,True,False,18.879407344531092,True,False,2,112875877.13548577
SIG,94.58000183105469,-10.77358317825029,82.14022875390141,73.84755329298886,37.20396173175033,0.5876096295175613,False,3,0.7488276506136711,6.132377817160733,-8.388217950316267,7.57507256689387,False,True,False,True,False,False,1.014636981207473,4,20.071100497348993,-0.6095016905570239,False,True,3.90309745092346,False,True,2,86293159.46704865
SIMO,139.7100067138672,-2.307522494737957,267.98099334795313,259.76056524942726,223.11697368818872,1.482691818827304,True,1,0.8488019721652842,15.610911273274949,52.726735616952936,25.60460531997122,False,False,False,False,False,False,0.4891087826662366,1,11.41148725188421,24.252659951448564,False,True,5.501020217543191,True,False,2,72492552.9612732
SIRI,25.479999542236328,0.0,37.42631992496046,33.45684474854871,-3.186746812689819,2.097594362242593,False,2,0.9441630019585752,9.654627663532317,22.559533382575413,11.023959456168807,True,False,False,False,False,True,3.032753796533938,3,13.34519600128763,26.193203952829936,False,True,2.3926227860568163,False,False,1,90374735.43222542
SITE,144.35000610351562,-11.577331636437593,31.322787944057207,31.239211662048973,-5.404379899189557,0.8365932352532535,False,1,0.9803104059911419,7.797013611452368,19.406077287048127,8.135440979442986,False,False,False,True,False,False,4.783690374169325,2,11.381172303509546,-2.155488851144427,False,True,4.100687882432031,False,True,2,83488976.11434174
SITM,503.6300048828125,0.0,297.9063017279973,288.06442411768154,251.420832556443,0.8157003515830465,True,2,0.8293839611299537,17.669721797584288,74.56845923147748,50.48554835390468,False,True,False,False,False,False,7.02779826075226,2,46.49776213599257,35.58852077658461,True,False,6.178264517655667,True,False,2,200597740.3034973
SIVR,77.31999969482422,-30.260667647356144,153.2590827246384,147.820505782384,111.17691422114547,1.0359081886334292,False,2,0.6300755545687582,11.61407577907002,49.961205654422926,21.11528745303408,True,False,False,False,False,False,2.207532234317311,2,7.135931351727476,-9.088774931882648,False,True,3.4034136562315327,False,False,1,173478872.52803573
SJM,95.5,-17.67241379310345,6.668157379762674,-13.487296484926558,-50.13088804616509,1.4414895894803357,False,1,0.7637834403536629,8.481673794891197,-6.2206077264496,0.4100508749297571,False,False,False,False,False,False,-0.974701801752198,1,-5.818541851178505,-5.481843121939789,False,False,2.4755132148619308,False,False,0,184814190.14348754
SKM,37.84000015258789,0.0,92.27830271837635,69.25907842075488,32.615486859516345,1.020606848665753,True,1,1.223664323219786,8.615227598003896,75.10411422414249,29.589038232541064,False,False,False,False,False,False,1.5021496556539837,1,29.146761562796875,80.27632475087019,True,True,3.543657963274706,False,False,2,52694900.716491506
SKYQ,8.010000228881836,-36.37807679267288,346.98660611828353,39.64435396878812,3.000762407549587,0.05987048015645506,False,2,2.893397692644697,148.93758183918408,101.05422424883335,296.5346685403377,False,True,False,False,False,False,-36.37807679267288,2,102.784813473076,163.48685294059518,True,False,28.909922393023923,True,False,2,137942483.05973062
SLAB,212.88999938964844,0.0,136.54444376627603,136.54444376627603,99.9008522050375,0.7107922663177787,True,2,0.8313846134603167,1.373950425169684,54.51444424140739,2.94985555470042,False,True,False,True,False,False,0.2873566110134451,3,3.4802915524247746,43.128944149079416,False,True,0.7754567437558334,False,True,2,70154880.16192856
